sample,id_gene,camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut verb
684,SMc02545,,,,,,
685,SMc00565,,,,,,
686,SMc00567,,,,,,
687,SMc00568,,,,,,
688,SMc00591,,,,,,
689,SMc00620,,,,,,
690,SMc01756,,,,,,
691,SMc01766,,,,,,
692,SMc01774,,,,,,
693,SMc01778,,,,,,
694,SMc01804,,,,,,
695,SMc01907,,,,,,
696,SMc01366,,,,,,
697,SMc01333,,,,,,
698,SMc01321,,,,,,
699,SMc01320,,,,,,
700,SMc01319,,,,,,
701,SMc01318,,,,,,
702,SMc01314,,,,,,
703,SMc01313,,,,,,
704,SMc01312,,,,,,
705,SMc01310,,,,,,
706,SMc01309,,,,,,
707,SMc01308,,,,,,
708,SMc01307,,,,,,
709,SMc01306,,,,,,
710,SMc01305,,,,,,
711,SMc01304,,,,,,
712,SMc01303,,,,,,
713,SMc01302,,,,,,
714,SMc01301,,,,,,
715,SMc01300,,,,,,
716,SMc01299,,,,,,
717,SMc01298,,,,,,
718,SMc01297,,,,,,
719,SMc01296,,,,,,
720,SMc01295,,,,,,
721,SMc01294,,,,,,
722,SMc01293,,,,,,
723,SMc01291,,,,,,
724,SMc01268,,,,,,
725,SMc01266,,,,,,
726,SMc01265,,,,,,
727,SMc01016,,,,,,
728,SMc01022,,,,,,
729,SMc01030,,,,,,
730,SMc02101,,,,,,
731,SMc02100,,,,,,
732,SMc02099,,,,,,
733,SMc02061,,,,,,
734,SMc02054,,,,,,
735,SMc02050,,,,,,
736,SMc02049,,,,,,
737,SMc01242,,,,,,
738,SMc01180,,,,,,
739,SMc00943,,,,,,
740,SMc00949,,,,,,
741,SMc00277,,,,,,
742,SMc00293,,,,,,
743,SMc00494,,,,,,
744,SMc00485,,,,,,
745,SMc00168,,,,,,
746,SMc00147,,,,,,
747,SMc00137,,,,,,
748,SMc04236,,,,,,
749,SMc04169,,,,,,
750,SMc04173,,,,,,
751,SMc04187,,,,,,
752,SMc04283,,,,,,
753,SMc04291,,,,,,
754,SMc04292,,,,,,
755,SMc04300,,,,,,
756,SMc04316,,,,,,
757,SMc04317,,,,,,
758,SMc04346,,,,,,
759,SMc01488,,,,,,
760,SMc01449,,,,,,
761,SMc01465,,,,,,
762,SMc01469,,,,,,
763,SMc01882,,,,,,
764,SMc01875,,,,,,
765,SMc01869,,,,,,
766,SMc01634,,,,,,
767,SMc01652,,,,,,
768,SMc01542,,,,,,
769,SMc01547,,,,,,
770,SMc01591,,,,,,
771,SMc02689,,,,,,
772,SMc02692,,,,,,
773,SMc02726,,,,,,
774,SMc02735,,,,,,
775,SMc01497,,,,,,
776,SMc01815,,,,,,
777,SMc01959,,,,,,
778,SMc01983,,,,,,
779,SMc01984,,,,,,
780,SMc01985,,,,,,
781,SMc02040,,,,,,
782,SMc02042,,,,,,
783,SMc02044,,,,,,
784,SMc02349,,,,,,
785,SMc02350,,,,,,
786,SMc02436,,,,,,
787,SMc02438,,,,,,
788,SMc02443,,,,,,
789,SMc00638,,,,,,
790,SMc03968,,,,,,
791,SMc03969,,,,,,
792,SMc04040,,,,,,
793,SMc04051,,,,,,
794,SMc04059,,,,,,
795,SMc03938,,,,,,
796,SMc03939,,,,,,
797,SMc03950,,,,,,
798,SMc02981,,,,,,
799,SMc03157,,,,,,
800,SMc03158,,,,,,
801,SMc03159,,,,,,
802,SMc03167,,,,,,
803,SMc03168,,,,,,
804,SMc03173,,,,,,
805,SMc03203,,,,,,
806,SMc03211,,,,,,
807,SMc03137,,,,,,
808,SMc03136,,,,,,
809,SMc03104,,,,,,
810,SMc04444,,,,,,
811,SMc02503,,,,,,
812,SMc02471,,,,,,
813,SMc02470,,,,,,
814,SMc03238,,,,,,
815,SMc03242,,,,,,
816,SMc03251,,,,,,
817,SMc03252,,,,,,
818,SMc03253,,,,,,
819,SMc03773,,,,,,
820,SMc03788,,,,,,
821,SMc03789,,,,,,
822,SMc03857,,,,,,
823,SMc03858,,,,,,
824,SMc03859,,,,,,
825,SMc03881,,,,,,
826,SMc03884,,,,,,
827,SMc02796,,,,,,
828,SMc02794,,,,,,
829,SM_b20019,,,,,,
830,SM_b20079,,,,,,
831,SM_b20096,,,,,,
832,SM_b20097,,,,,,
833,SM_b20098,,,,,,
834,SM_b20099,,,,,,
835,SM_b20100,,,,,,
836,SM_b20149,,,,,,
837,SM_b20170,,,,,,
838,SM_b20194,,,,,,
839,SM_b20195,,,,,,
840,SM_b20196,,,,,,
841,SM_b20197,,,,,,
842,SM_b20198,,,,,,
843,SM_b20199,,,,,,
844,SM_b20200,,,,,,
845,SM_b20201,,,,,,
846,SM_b20202,,,,,,
847,SM_b20347,,,,,,
848,SM_b20359,,,,,,
849,SM_b20360,,,,,,
850,SM_b20368,,,,,,
851,SM_b20409,,,,,,
852,SM_b20495,,,,,,
853,SM_b20551,,,,,,
854,SM_b21096,,,,,,
855,SM_b21113,,,,,,
856,SM_b21132,,,,,,
857,SM_b21133,,,,,,
858,SM_b21221,,,,,,
859,SM_b21225,,,,,,
860,SM_b21257,,,,,,
861,SM_b21273,,,,,,
862,SM_b21274,,,,,,
863,SM_b21277,,,,,,
864,SM_b21283,,,,,,
865,SM_b21287,,,,,,
866,SM_b21288,,,,,,
867,SM_b21293,,,,,,
868,SM_b21294,,,,,,
869,SM_b21295,,,,,,
870,SM_b21297,,,,,,
871,SM_b21174,,,,,,
872,SM_b21175,,,,,,
873,SM_b21188,,,,,,
874,SM_b21189,,,,,,
875,SM_b21190,,,,,,
876,SM_b21191,,,,,,
877,SM_b21207,,,,,,
878,SM_b21208,,,,,,
879,SM_b21346,,,,,,
880,SM_b21556,,,,,,
881,SM_b21566,,,,,,
882,SM_b22023,,,,,,
883,SM_b20943,,,,,,
884,SM_b20944,,,,,,
885,SM_b20946,,,,,,
886,SM_b20948,,,,,,
887,SM_b20954,,,,,,
888,SM_b20955,,,,,,
889,SM_b20956,,,,,,
890,SM_b20957,,,,,,
891,SM_b20958,,,,,,
892,SM_b20959,,,,,,
893,SM_b20960,,,,,,
894,SM_b20961,,,,,,
895,SM_b20991,,,,,,
896,SM_b20992,,,,,,
897,SM_b20846,,,,,,
898,SM_b20857,,,,,,
