sample,id_gene,camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut_verb
402,SinmeB_1960,33,1153,1664,1552,926,48
403,SinmeB_1961,26,790,847,858,1898,1855
404,SinmeB_1970,2,555,710,628,33,589
405,SinmeB_1971,712,1550,1513,1532,26,1747
406,SinmeB_1972,409,1438,871,818,2,1898
407,SinmeB_1977,1706,1502,756,918,570,1493
408,SinmeB_1981,428,48,574,47,712,929
409,SinmeB_1995,1743,413,1550,1090,409,807
410,SinmeB_1996,1280,1747,554,1072,1014,920
411,SinmeB_2010,93,1038,573,428,1774,546
412,SinmeB_2017,613,929,991,1903,93,1654
413,SinmeB_2023,1113,1015,778,2037,1630,561
414,SinmeB_2024,1501,546,590,1503,1548,1831
415,SinmeB_2033,605,561,1518,805,954,2070
416,SinmeB_2034,65,1741,692,717,1532,413
417,SinmeB_2037,723,1831,1706,813,1518,31
418,SinmeB_2038,62,2070,1797,961,428,588
419,SinmeB_2039,1664,588,1086,949,62,696
420,SinmeB_2040,871,1706,618,1069,1029,1438
421,SinmeB_2044,756,1503,2045,1502,847,1579
422,SinmeB_2046,574,1903,1261,48,710,1518
423,SinmeB_2047,749,895,1501,1786,2045,695
424,SinmeB_2066,10,1579,1088,1747,749,496
425,SinmeB_2067,705,1501,925,929,1598,1903
426,SinmeB_2082,991,559,634,546,554,1503
427,SinmeB_2088,778,748,1598,6,10,2045
428,SinmeB_2089,590,695,1530,561,573,1763
429,SinmeB_2090,1511,1587,521,1310,705,94
430,SinmeB_2091,1607,917,1549,1831,1530,569
431,SinmeB_2094,809,640,819,2070,809,1598
432,SinmeB_2095,556,697,943,1613,556,2051
433,SinmeB_2099,1059,1310,693,588,1059,1530
434,SinmeB_2117,1507,1613,962,1008,692,1787
435,SinmeB_2136,154,715,547,1508,1549,1988
436,SinmeB_2146,1797,1922,1153,1728,2023,625
437,SinmeB_2153,1599,1075,790,1579,1086,743
438,SinmeB_2154,1261,103,555,708,618,718
439,SinmeB_2161,837,1763,793,614,628,1549
440,SinmeB_2169,1088,1508,1855,2019,918,1310
441,SinmeB_2177,628,94,589,1254,47,826
442,SinmeB_2178,918,569,1038,695,634,1613
443,SinmeB_2183,925,1511,2023,617,1072,1032
444,SinmeB_2186,47,2051,1015,1507,1494,1112
445,SinmeB_2187,1072,1607,1511,1779,1507,1508
446,SinmeB_2204,521,1787,807,528,523,558
447,SinmeB_2207,805,1988,1607,857,729,2023
448,SinmeB_2208,813,625,920,1465,805,1255
449,SinmeB_2213,943,154,1741,837,813,1156
450,SinmeB_2214,693,1779,31,1763,819,1779
451,SinmeB_2217,1153,816,696,94,962,750
452,SinmeB_2221,790,826,1494,569,837,1494
453,SinmeB_2222,555,1032,154,2051,547,601
454,SinmeB_2223,1786,1599,729,1787,476,729
455,SinmeB_2240,1038,528,895,1988,793,68
456,SinmeB_2248,1015,1465,523,625,1786,528
457,SinmeB_2249,2046,1068,1599,826,1855,523
458,SinmeB_2250,6,1255,559,1032,1515,1465
459,SinmeB_2251,1741,1071,748,2069,589,1062
460,SinmeB_2252,1542,1785,1515,1582,807,476
461,SinmeB_2254,1008,808,476,1255,920,1515
462,SinmeB_2255,1728,750,1587,1542,6,2075
463,SinmeB_2256,895,1290,496,522,45,803
464,SinmeB_2257,559,1054,917,750,31,1788
465,SinmeB_2258,708,1062,640,374,696,45
466,SinmeB_2260,614,1030,697,960,1008,34
467,SinmeB_2261,1533,1582,45,853,1728,1582
468,SinmeB_2262,2019,2046,715,1533,708,798
469,SinmeB_2263,748,34,1922,543,614,1594
470,SinmeB_2268,1254,374,1075,821,1594,235
471,SinmeB_2270,617,798,103,1062,235,1450
472,SinmeB_2271,2043,1,235,727,2019,23
473,SinmeB_2274,1587,2043,743,34,1254,374
474,SinmeB_2275,917,1018,2046,2047,617,1773
475,SinmeB_2279,640,23,718,1605,1542,540
476,SinmeB_2280,697,15,1594,1517,1450,989
477,SinmeB_2291,857,540,816,798,496,709
478,SinmeB_2316,1108,1108,1450,1055,857,713
479,SinmeB_2327,715,989,1112,1593,1773,14
480,SinmeB_2330,1922,709,1773,875,1533,850
481,SinmeB_2344,1075,1517,558,23,743,1729
482,SinmeB_2345,103,713,1068,733,718,1383
483,SinmeB_2346,1605,14,1071,701,2047,1517
484,SinmeB_2347,1777,1777,1785,540,1605,1783
485,SinmeB_2348,2047,1691,1156,565,2069,1070
486,SinmeB_2349,1691,850,808,989,1112,1593
487,SinmeB_2387,816,1729,2043,709,1383,1753
488,SinmeB_2388,2069,1593,1290,713,558,24
489,SinmeB_2401,1068,534,601,14,1156,875
490,SinmeB_2402,1071,875,1054,568,522,839
491,SinmeB_2403,1785,470,68,1265,601,565
492,SinmeB_2405,808,565,1108,1499,68,1476
493,SinmeB_2406,1265,1783,1383,850,960,545
494,SinmeB_2407,1290,1496,1777,992,853,923
495,SinmeB_2408,522,1531,1030,1729,543,965
496,SinmeB_2433,1499,1125,2075,1496,821,519
497,SinmeB_2438,1054,923,1691,1154,1476,532
498,SinmeB_2441,960,965,803,1551,1265,1496
499,SinmeB_2447,853,519,1788,1783,2075,1155
500,SinmeB_2448,543,532,1,720,727,8
501,SinmeB_2449,821,1155,1476,730,1499,867
502,SinmeB_2450,1531,1273,1018,1768,803,1147
503,SinmeB_2451,1551,856,15,1076,1788,776
504,SinmeB_2472,1030,951,1531,1527,1551,754
505,SinmeB_2477,727,473,534,923,1055,1189
506,SinmeB_2485,1527,1281,470,965,1527,985
507,SinmeB_2494,1055,133,473,519,733,811
508,SinmeB_2501,1,542,1070,1285,701,442
509,SinmeB_2538,473,1147,1753,532,568,580
510,SinmeB_2563,1018,776,24,1155,1285,2014
511,SinmeB_2564,15,754,442,1581,992,1752
512,SinmeB_2583,733,985,839,1545,442,1056
513,SinmeB_2596,701,580,1125,1147,1581,1693
514,SinmeB_2604,1285,627,545,776,1154,635
515,SinmeB_2652,1581,1693,1273,754,720,1017
516,SinmeB_2661,568,1752,8,1693,730,608
517,SinmeB_2687,992,1034,856,985,1070,765
518,SinmeB_2712,1545,1133,951,13,1753,553
519,SinmeB_2720,1154,1056,867,580,1768,1336
520,SinmeB_2723,534,46,1281,1336,1076,533
521,SinmeB_2724,470,1336,133,1585,1545,1497
522,SinmeB_2725,720,635,542,1346,24,1541
523,SinmeB_2728,730,1346,1189,716,839,1033
524,SinmeB_2756,1768,744,1497,1526,545,1346
525,SinmeB_2758,1076,1187,1541,1187,8,1526
526,SinmeB_2772,1585,567,811,1752,1585,1187
527,SinmeB_2780,1125,553,627,1056,1497,1452
528,SinmeB_2785,1273,1526,1452,869,1541,1020
529,SinmeB_2786,856,32,1675,829,867,721
530,SinmeB_2801,951,869,2014,635,1189,869
531,SinmeB_2808,1281,1892,1034,825,1452,1625
532,SinmeB_2817,133,921,64,583,1675,1675
533,SinmeB_2819,542,1020,1133,475,13,854
534,SinmeB_2820,1600,475,46,553,811,1979
535,SinmeB_2834,13,1979,1600,737,64,1132
536,SinmeB_2835,627,721,1017,606,716,1205
537,SinmeB_2837,373,1600,744,1782,2014,475
538,SinmeB_2845,1543,1852,608,1540,373,64
539,SinmeB_2846,1872,854,765,1020,1872,1764
540,SinmeB_2847,716,820,567,373,1519,612
