camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut_verb
SM2011_c03877,SM2011_c00528,SM2011_c02099,SM2011_c03052,SM2011_c04009,SM2011_c04319
SM2011_c04252,SM2011_c04454,SinmeB_5539,SinmeB_5740,SM2011_c01207,SM2011_c01501
SM2011_c00908,SM2011_c01326,SM2011_c03025,SM2011_c02486,SM2011_c01563,SM2011_c00948
SM2011_c03876,SinmeB_5740,SM2011_c04009,SM2011_c03014,SM2011_c03041,SM2011_c01349
SM2011_c04088,SM2011_c02486,SM2011_c01207,SM2011_c01235,SM2011_c00918,SM2011_b21438
SM2011_c00097,SM2011_b21295,SM2011_c01563,SM2011_c02136,SM2011_c04273,SM2011_c03057
SM2011_c00134,SM2011_c01235,SM2011_c00918,SM2011_c00363,SM2011_c04214,SM2011_c02487
SM2011_c01231,SM2011_c01287,SM2011_c03024,SM2011_c00334,SM2011_c01499,SinmeB_5810
SM2011_c00294,SM2011_c02136,SM2011_c03057,SM2011_c03858,SM2011_c03024,SM2011_c02450
SM2011_c00526,SM2011_c03025,SM2011_c01812,SM2011_c00568,SM2011_b20647,SM2011_c00495
SM2011_b21097,SM2011_c00334,SinmeB_5234,SM2011_c01843,SM2011_c03057,SM2011_c00427
SM2011_c02090,SinmeB_5539,SM2011_c01720,SM2011_c04273,SM2011_c00925,SM2011_c00615
SM2011_b21418,SM2011_c01843,SM2011_c00366,SM2011_c04214,SM2011_c00494,SM2011_c03881
SM2011_c00077,SM2011_c01812,SM2011_c03028,SM2011_c01499,SM2011_b21113,SM2011_c00141
SM2011_c03025,SinmeB_5234,SM2011_c00622,SM2011_b20647,SM2011_c03877,SM2011_c01906
SM2011_c00488,SM2011_c01720,SM2011_c04252,SM2011_c00925,SM2011_c00134,SM2011_b21377
SM2011_c02500,SM2011_c00366,SM2011_c00908,SM2011_c00494,SM2011_c01231,SM2011_c00528
