camp_lodi,camp_verb,lodi_verb
SMa1276,SM_b20959,SMa0682
SM_b20198,SMc03167,SMa1176
SM_b20199,SM_b20605,SMa0630
SMa1296,SMa0745,SMa0661
SM_b20959,SMa0670,SMa0312
SMc03167,SMa1226,SMa0687
SM_b20605,SM_b20725,SM_b20726
SMc00092,SMa1292,SMa1240
SMa1084,SMa1122,SMa0745
SMa0670,SMa1132,SMa1243
SMa1155,SMa1093,SM_b20199
SMa1149,SM_b20959,SMa1185
SM_b20725,SMa1131,SM_b20724
SM_b20960,SMa0687,SMa1296
SMa1132,SMa0695,SM_b20724
SMa1126,SMa1101,SMc00092
SM_b20959,SMa1210,SMa1084
SMa1166,SMa1247,SMa1226
SMa0690,SMc01159,SMa1155
SMa1256,SMa1154,SMa1292
SMa1247,SMa0669,SMa1149
SMa1154,SMa1087,SMa1122
SMa1096,SMa1169,SM_b20960
SM_b20198,SMa1153,SMa1126
SMa1163,SM_b20198,SMa1093
SMc02350,SMa1285,SMa1166
SMa0680,SMc01159,SMa1131
SMa0769,SMc02350,SMa0690
SMa1231,SMa1163,SMa0695
SM_b20019,SMa0680,SMa0687
SMa0661,SMa0765,SMa1256
SMa0766,SMa1231,SMa1101
SMa1091,SMa1158,SMa1210
SMa0689,SMa0772,SMc01159
SMa0699,SMa0766,SMa0669
SMa0636,SMa0689,SMa1087
SMa1288,SMa0636,SMa1096
SMa1176,SM_b20725,SMa1169
SM_b20725,SMa1288,SMa1153
SMa1089,SMa0815,SMa1285
SMa1207,SMa1146,SMc01159
SMa1223,SMa1089,SMa0765
SMa0699,SMa1207,SM_b20019
SMa1211,SMa1211,SMa0769
SMa1147,SMa1147,SMa0661
SMa1095,SMa1179,SMa0772
SMa1082,SMa1095,SMa1158
SMa1170,SMa1082,SMa1091
SMa0682,SMa1194,SMa0699
SMc02350,SMc02350,SMa1176
SMa1266,SMa1170,SMa0815
SMa1255,SMa1255,SMa1146
SMa1279,SMa1266,SMa0699
SMa1195,SMc02178,SMa1223
SMc02178,SMa1195,SMa1179
SMa1296,SMa0678,SMa1194
SMa0760,SMa0760,SMa0682
SMa0680,SMa1261,SMa1279
SMc02255,SMa0680,SMa1296
SMa1289,SMa0695,SMa0678
SMc02255,SMa0678,SMa1261
SMa0762,SMa0697,SMc02255
SMc01242,SMc01242,SMa0695
SMa0697,SMc02254,SMa1289
SMc02254,SMc02254,SMa0678
SMa0769,SMa0766,SMc02255
SMc02254,SMa0765,SMa0762
SMa0766,SMa0697,SMa0769
SMa2347,,SMa2347
SMa0697,,SMa0765
